nombre,especie,es_villano,es_protagonista,color_pelo,pelo,es_magico,color_vestimenta,vive_en,genero
mickey_mouse,animal,no,si,negro,corto,no,rojo,ciudad,masculino
minnie_mouse,animal,no,si,negro,corto,no,rosa,ciudad,femenino
daisy_duck,animal,no,si,ninguno,sin_pelo,no,morado,ciudad,femenino
donald_duck,animal,no,si,ninguno,sin_pelo,no,azul,ciudad,masculino
goofy,animal,no,si,negro,corto,no,naranja,ciudad,masculino
pluto,animal,no,no,rubio,corto,no,verde,ciudad,masculino
aladdin,humano,no,si,negro,corto,no,blanco,desierto,masculino
jasmine,humano,no,si,negro,largo,no,verde,desierto,femenino
alice,humano,no,si,rubio,largo,no,azul,otro,femenino
cheshire_cat,animal,no,no,morado,corto,si,na,bosque,masculino
white_rabbit,animal,no,no,blanco,corto,no,cafe,otro,masculino
genie,ser_magico,no,si,negro,largo,si,azul,desierto,masculino
dutchess,animal,no,no,blanco,corto,no,na,ciudad,femenino
omalley,animal,no,si,naranja,corto,no,na,ciudad,masculino
marie,animal,no,si,blanco,corto,no,rosa,ciudad,femenino
pinocchio,objeto,no,si,negro,corto,si,rojo,ciudad,masculino
jiminy_cricket,insecto,no,si,negro,corto,no,negro,otro,masculino
pocahontas,humano,no,si,negro,largo,no,cafe,bosque,femenino
john_smith,humano,no,si,rubio,corto,no,azul,bosque,masculino
tinkerbell,ser_magico,no,si,rubio,corto,si,verde,bosque,femenino
prince_naveen,humano,no,si,negro,corto,no,verde,otro,masculino
tiana,humano,no,si,negro,largo,no,verde,ciudad,femenino
ray,insecto,no,no,negro,corto,no,na,pantano,masculino
louis,animal,no,no,ninguno,sin_pelo,no,na,pantano,masculino
robin_hood,animal,no,si,rojo,corto,no,verde,bosque,masculino
maid_marian,animal,no,si,rojo,corto,no,morado,bosque,femenino
little_john,animal,no,si,cafe,corto,no,verde,bosque,masculino
prince_phillip,humano,no,si,cafe,corto,no,negro,castillo,masculino
aurora,humano,no,si,rubio,largo,no,rosa,castillo,femenino
fauna,ser_magico,no,no,gris,corto,si,verde,castillo,femenino
flora,ser_magico,no,no,gris,corto,si,rojo,bosque,femenino
